title,author,length
The Magnolia Palace,Fiona Davis,Length: 11 hrs and 9 mins
Converted,Neil Hoyne,Length: 3 hrs and 19 mins
Essentialism,Greg McKeown,Length: 6 hrs and 14 mins
The Time of Contempt,Andrzej Sapkowski,Length: 11 hrs and 55 mins
Death on the Nile,Agatha Christie,Length: 7 hrs and 59 mins
The Whistler,John Grisham,Length: 13 hrs and 10 mins
The Erotic Mind,Jack Morin PhD,Length: 12 hrs and 52 mins
Battlefield Reclaimer,David North,Length: 18 hrs and 15 mins
Afraid,"Alexandra Ivy,Lisa Childs,Lisa Jackson",Length: 11 hrs and 1 min
Fahrenheit 451,Ray Bradbury,Length: 5 hrs and 1 min
The 7 Habits of Highly Effective People,Stephen R. Covey,Length: 13 hrs and 4 mins
Unmissing,Minka Kent,Length: 7 hrs and 36 mins
"Harry Potter and the Sorcerer's Stone, Book 1",J.K. Rowling,Length: 8 hrs and 18 mins
Under One Roof,Ali Hazelwood,Length: 3 hrs and 38 mins
Crucial Conversations (Third Edition),"Joseph Grenny,Kerry Patterson,Ron McMillan,Al Switzler,Emily Gregory",Length: 7 hrs and 45 mins
The Last Wish,Andrzej Sapkowski,Length: 10 hrs and 17 mins
"Thinking, Fast and Slow",Daniel Kahneman,Length: 20 hrs and 2 mins
"Boundaries, Updated and Expanded Edition","John Townsend,Henry Cloud",Length: 11 hrs and 18 mins
All the Light We Cannot See,Anthony Doerr,Length: 16 hrs and 2 mins
No Bad Parts,"Richard C. Schwartz PhD,Alanis Morissette - foreword introduction",Length: 8 hrs and 10 mins
Powers and Thrones,Dan Jones,Length: 24 hrs and 25 mins
Before We Were Yours,Lisa Wingate,Length: 14 hrs and 29 mins
Norse Mythology,Neil Gaiman,Length: 6 hrs and 29 mins
The World Played Chess,Robert Dugoni,Length: 10 hrs and 3 mins
Deep Work,Cal Newport,Length: 7 hrs and 44 mins
The E-Myth Revisited,Michael E. Gerber,Length: 8 hrs and 5 mins
"Guns, Germs and Steel",Jared Diamond,Length: 16 hrs and 20 mins
Zero to One,"Peter Thiel,Blake Masters",Length: 4 hrs and 50 mins
Shadow of Night,Deborah Harkness,Length: 24 hrs and 25 mins
The Titan's Curse,Rick Riordan,Length: 8 hrs and 48 mins
Artemis,Andy Weir,Length: 8 hrs and 57 mins
Mother of Learning Arc 1,"nobody103,Domagoj Kurmaic",Length: 22 hrs and 55 mins
Redeeming Love,Francine Rivers,Length: 17 hrs and 17 mins
Sword of Destiny,Andrzej Sapkowski,Length: 12 hrs and 48 mins
Elric of Melniboné,"Michael Moorcock,Neil Gaiman",Length: 24 hrs and 12 mins
Blood of Elves,Andrzej Sapkowski,Length: 10 hrs and 55 mins
The Legend of Randidly Ghosthound 2,"Noret Flood,puddles4263",Length: 24 hrs and 9 mins
Money: Master the Game,Tony Robbins,Length: 21 hrs and 3 mins
The Intelligent Investor Rev Ed.,Benjamin Graham,Length: 17 hrs and 48 mins
Grit,Angela Duckworth,Length: 9 hrs and 22 mins
Finlay Donovan Knocks 'Em Dead,Elle Cosimano,Length: 9 hrs and 20 mins
Outliers,Malcolm Gladwell,Length: 7 hrs and 18 mins
The Girl with the Dragon Tattoo,"Stieg Larsson,Reg Keeland - translator",Length: 16 hrs and 19 mins
The Two Towers,J. R. R. Tolkien,Length: 20 hrs and 46 mins
The Return of the King,J. R. R. Tolkien,Length: 21 hrs and 52 mins
Unfu*k Yourself,Gary John Bishop,Length: 3 hrs and 24 mins
Valentine Core,Jonathan Brooks,Length: 3 hrs and 29 mins
A Dance with Dragons,George R.R. Martin,Length: 48 hrs and 55 mins
