title,author,length
Iron Gold,Pierce Brown,Length: 23 hrs and 23 mins
Fall of Giants,Ken Follett,Length: 30 hrs and 38 mins
Man's Search for Meaning,Viktor E. Frankl,Length: 4 hrs and 44 mins
Mere Christianity,C. S. Lewis,Length: 7 hrs and 6 mins
The Lost World,Michael Crichton,Length: 15 hrs and 18 mins
Grey,E. L. James,Length: 18 hrs and 53 mins
Positive Intelligence,Shirzad Chamine,Length: 8 hrs and 46 mins
Insomnia,Stephen King,Length: 25 hrs and 39 mins
Psychopath Free: Expanded Edition,Jackson MacKenzie,Length: 7 hrs and 57 mins
San Fransicko,Michael Shellenberger,Length: 11 hrs and 12 mins
Spilled Milk,K. L. Randis,Length: 7 hrs and 43 mins
You Were Born Rich,Bob Proctor,Length: 10 hrs and 48 mins
A Court of Silver Flames,Sarah J. Maas,Length: 26 hrs and 5 mins
The Dark Tower I,Stephen King,Length: 7 hrs and 20 mins
Eclipse,Stephenie Meyer,Length: 16 hrs and 26 mins
Leonardo da Vinci,Walter Isaacson,Length: 17 hrs and 1 min
The Testament,John Grisham,Length: 14 hrs and 33 mins
Behave,Robert Sapolsky,Length: 26 hrs and 27 mins
The Bear and the Dragon,Tom Clancy,Length: 42 hrs and 56 mins
Reaper,Will Wight,Length: 13 hrs and 7 mins
Starsight,Brandon Sanderson,Length: 14 hrs and 30 mins
Gone but Not Forgotten,Charlie Cochet,Length: 7 hrs and 19 mins
Rocket Fuel,"Gino Wickman,Mark C. Winters",Length: 4 hrs and 26 mins
Mere Christianity,C. S. Lewis,Length: 7 hrs and 6 mins
The Lost World,Michael Crichton,Length: 15 hrs and 18 mins
Grey,E. L. James,Length: 18 hrs and 53 mins
Positive Intelligence,Shirzad Chamine,Length: 8 hrs and 46 mins
Insomnia,Stephen King,Length: 25 hrs and 39 mins
Psychopath Free: Expanded Edition,Jackson MacKenzie,Length: 7 hrs and 57 mins
San Fransicko,Michael Shellenberger,Length: 11 hrs and 12 mins
Spilled Milk,K. L. Randis,Length: 7 hrs and 43 mins
You Were Born Rich,Bob Proctor,Length: 10 hrs and 48 mins
A Court of Silver Flames,Sarah J. Maas,Length: 26 hrs and 5 mins
The Dark Tower I,Stephen King,Length: 7 hrs and 20 mins
Eclipse,Stephenie Meyer,Length: 16 hrs and 26 mins
Leonardo da Vinci,Walter Isaacson,Length: 17 hrs and 1 min
The Testament,John Grisham,Length: 14 hrs and 33 mins
Behave,Robert Sapolsky,Length: 26 hrs and 27 mins
The Bear and the Dragon,Tom Clancy,Length: 42 hrs and 56 mins
Reaper,Will Wight,Length: 13 hrs and 7 mins
Starsight,Brandon Sanderson,Length: 14 hrs and 30 mins
Gone but Not Forgotten,Charlie Cochet,Length: 7 hrs and 19 mins
Rocket Fuel,"Gino Wickman,Mark C. Winters",Length: 4 hrs and 26 mins
